DMR_ID;CA;ECO;T_DEM_LIB_CLIENT;DATE_DECISION;RESULTAT_SIMPLIFIE;SUITE_DONNEE_SIMPLIFIEE
6901652;26543,25;106173;TJ;24-07-2022;POSITIF;Pas Appel
6966397;20075,7;66919;CNIT Médical;16-12-2021;POSITIF;Pas Appel
8347344;12788,908;31972,27;TJ;05-11-2021;POSITIF;Pas Appel
8358419;898,15;3905;CNIT Médical;25-05-2021;NEGATIF;Pas Appel
9175955;6813,4;30970;TJ;15-01-2021;NEGATIF;Pas Appel
9273641;12240,9;40803;CNIT Médical;15-11-2021;NEGATIF;Pas Appel
9586713;11723,75;46895;TJ Médical;17-03-2021;POSITIF;Pas Appel
9777578;4811,4;26730;TJ;13-04-2021;NEGATIF;Pas Appel
10530414;2319,4;11597;TJ;10-11-2021;POSITIF;Pas Appel
10624404;0;0;TJ;21-02-2022;POSITIF;Pas Appel
10665170;10909,15;31169;TJ;29-06-2022;POSITIF;Pas Appel
10703917;10809,127;30883,22;TJ;12-02-2021;POSITIF;Pas Appel
10772054;6010,25;24041;TJ;26-02-2021;POSITIF;Pas Appel
10792427;9557,75;38231;TJ;16-02-2022;POSITIF;Pas Appel
10937785;7962,25;31849;TJ;16-02-2022;POSITIF;Pas Appel
11011324;9557,75;38231;TJ;11-04-2022;POSITIF;Pas Appel
11038926;7209,44;35168;TJ;05-04-2022;POSITIF;Pas Appel
11045192;9293,1;30977;TJ;28-05-2021;POSITIF;Pas Appel
11045225;9779,7;32599;TJ;07-01-2021;POSITIF;Pas Appel
11052199;40156,84;108532;TJ;04-01-2021;POSITIF;Pas Appel
11070334;3401,24;14788;TJ;14-04-2022;POSITIF;Pas Appel
11085831;8167,6;23336;TJ;11-07-2022;NEGATIF;Pas Appel
11186637;7200;24000;TJ Médical;05-10-2021;NEGATIF;Pas Appel
11320859;119394;238788;CNIT Médical;20-01-2022;NEGATIF;Pas Appel
11323817;9860,1;42870;TJ;25-01-2021;POSITIF;Pas Appel
11377443;20107,85;57451;CNIT Médical;25-02-2022;NEGATIF;Pas Appel
11421085;12112,2;40374;TJ;09-02-2022;POSITIF;Pas Appel
11440226;5472;30400;TJ;07-05-2021;POSITIF;Pas Appel
11465454;270;1800;TJ;18-10-2021;POSITIF;Pas Appel
11466562;5527,5;36850;TJ;13-08-2021;POSITIF;Pas Appel
11482514;1286,25;5145;TJ;03-12-2021;POSITIF;Pas Appel
11523649;27105,05;77443;TJ;01-01-2022;POSITIF;Pas Appel
11666530;7101,5;28406;TJ;04-11-2021;POSITIF;Pas Appel
11697825;4802,4;32016;TJ;22-03-2022;POSITIF;Pas Appel
11700447;7647,32;37304;TJ;08-01-2021;NEGATIF;Pas Appel
11707873;2331,2;5828;TJ;25-10-2021;POSITIF;Pas Appel
11708993;6003;33350;CNIT Médical;03-05-2021;NEGATIF;Pas Appel
11724098;42673,3055;121923,73;TJ;28-07-2021;POSITIF;Pas Appel
11781813;3400;20000;TJ;02-04-2021;POSITIF;Pas Appel
11813794;8794,8;29316;TJ;20-05-2021;POSITIF;Pas Appel
11826938;14092,315;68743;CNIT Médical;15-11-2021;NEGATIF;Pas Appel
11841029;10154;40616;TJ Médical;22-06-2021;NEGATIF;Pas Appel
11847705;8642,9;24694;CA;19-07-2021;POSITIF;Pas Appel
11867591;2864,4;7161;TJ;15-04-2021;POSITIF;Pas Appel
11956622;7907,02;35941;TJ;15-07-2021;POSITIF;Pas Appel
11973897;23000;46000;CNIT Médical;28-04-2022;POSITIF;Pas Appel
11983289;8587,5;28625;TJ;11-03-2021;POSITIF;Pas Appel
11996277;15427,2;51424;TJ;02-04-2021;POSITIF;Pas Appel
11997655;;;CNIT Médical;10-05-2022;POSITIF;Pas Appel
11998255;19946,4;99732;CNIT Médical;25-10-2021;POSITIF;Pas Appel
12034315;41354;103385;CNIT Médical;21-04-2021;NEGATIF;Pas Appel
12055553;17403,54;82874;CNIT Médical;28-04-2022;POSITIF;Pas Appel
12069606;7366,47205;35934,01;TJ;25-02-2021;POSITIF;Pas Appel
12071376;196710,15;562029;TJ;18-03-2021;NEGATIF;Pas Appel
12096794;11620,56;41502;TJ;14-02-2022;POSITIF;Pas Appel
12107978;5391,68;33698;CA;07-03-2022;POSITIF;Pas Appel
12113227;13702,15;39149;TJ;30-12-2021;NEGATIF;Pas Appel
12200950;7622,3;43556;TJ;10-05-2021;NEGATIF;Pas Appel
12298564;10537,2;35124;TJ;30-11-2021;NEGATIF;Pas Appel
12304716;19995;66650;TJ Médical;14-03-2022;POSITIF;Pas Appel
12361073;4232,66;24898;TJ;15-11-2021;NEGATIF;Pas Appel
12488485;9214,38525;52653,63;TJ;11-01-2021;POSITIF;Pas Appel
12516988;26594,12;94979;TJ Médical;23-03-2021;POSITIF;Pas Appel
12542821;15297,8;54635;CNIT Médical;11-02-2022;POSITIF;Pas Appel
12562007;15863,76;72108;CNIT Médical;29-06-2021;NEGATIF;Pas Appel
12572284;9495,64;43162;CNIT Médical;04-05-2021;POSITIF;Pas Appel
12574687;7200;24000;CNIT Médical;18-01-2021;NEGATIF;Pas Appel
12592439;21915;73050;CNIT Médical;09-06-2021;NEGATIF;Pas Appel
12650545;102986,45;294247;CNIT Médical;14-09-2021;POSITIF;Pas Appel
12657155;5037,76;17992;CARSAT;27-07-2021;POSITIF;Pas Appel
12668525;7722;42900;TJ Médical;08-09-2021;NEGATIF;Pas Appel
12681013;9370,91;55123;TJ;06-05-2021;POSITIF;Pas Appel
12708301;6762,58;61478;CNIT Médical;08-06-2021;POSITIF;Pas Appel
12711277;10532;65825;CNIT Médical;04-05-2021;POSITIF;Pas Appel
12711285;18242,4;91212;CNIT Médical;03-02-2022;POSITIF;Pas Appel
12714193;7677,455;37451;TJ;28-06-2021;NEGATIF;Pas Appel
12716738;1651,52305;8056,21;TJ;29-03-2021;POSITIF;Pas Appel
12719977;8646;43230;TJ;19-05-2021;POSITIF;Pas Appel
12741912;10154,97;48357;TJ;28-06-2021;POSITIF;Pas Appel
12748598;18000,6;60002;CNIT Médical;16-06-2022;POSITIF;Pas Appel
12751990;36574;182870;CNIT Médical;12-05-2021;POSITIF;Pas Appel
12758012;2418,5;9674;TJ Médical;26-02-2021;POSITIF;Pas Appel
12763346;9450;27000;TJ;02-05-2022;NEGATIF;Pas Appel
12777388;16000;32000;TJ Médical;17-12-2021;POSITIF;Pas Appel
12778883;21960;73200;TJ Médical;05-04-2022;POSITIF;Pas Appel
12811075;2695,5;10782;TJ Médical;27-05-2021;POSITIF;Pas Appel
12817769;32942,39;173381;CNIT Médical;05-03-2021;POSITIF;Pas Appel
12825104;45907,92;255044;CNIT Médical;08-01-2021;POSITIF;Pas Appel
12832432;;;CNIT Médical;10-02-2022;POSITIF;Pas Appel
12833630;0;0;TJ Médical;29-04-2022;POSITIF;Pas Appel
12839308;17021,55;48633;TJ Médical;05-03-2021;POSITIF;Pas Appel
12841736;6528,55;37306;TJ;30-07-2021;POSITIF;Pas Appel
12842361;17340,6;86703;CNIT Médical;27-10-2021;POSITIF;Pas Appel
12842759;2199;10995;TJ Médical;02-09-2021;NEGATIF;Pas Appel
12848941;43887,2;109718;TJ Médical;20-09-2021;POSITIF;Pas Appel
12850123;110100,375;629145;TJ;19-05-2021;NEGATIF;Pas Appel
12862526;12126,5;48506;TJ;22-10-2021;POSITIF;Pas Appel
12868165;;;CNIT Médical;07-04-2021;POSITIF;Pas Appel
12870359;;;CNIT Médical;29-04-2021;POSITIF;Pas Appel
12874091;25888,8;73968;TJ Médical;02-09-2021;NEGATIF;Pas Appel
12875155;12900;43000;TJ Médical;02-09-2021;POSITIF;Pas Appel
12876442;8226,09;30467;TJ;17-03-2021;POSITIF;Pas Appel
12885737;17248,44;78402;TJ Médical;05-03-2021;POSITIF;Pas Appel
12887166;9554,72;34124;CA;24-09-2021;POSITIF;Pas Appel
12889571;8680;43400;TJ;05-08-2021;POSITIF;Pas Appel
12890490;3500;17500;TJ;21-01-2021;POSITIF;Pas Appel
12904536;6440,72;58552;CNIT Médical;22-01-2021;POSITIF;Pas Appel
12905196;25276,65;72219;CNIT Médical;12-03-2021;POSITIF;Pas Appel
12917823;25918,5;86395;TJ;16-03-2021;POSITIF;Pas Appel
12945482;14070;40200;CNIT Médical;26-10-2021;NEGATIF;Pas Appel
12964981;;;CNIT Médical;18-06-2021;POSITIF;Pas Appel
12967241;22920,8;81860;CNIT Médical;10-06-2021;NEGATIF;Pas Appel
12974632;23996,05;82745;TJ;13-07-2022;NEGATIF;Pas Appel
12975250;23403,5568;130019,76;CARSAT;10-05-2021;POSITIF;Pas Appel
12982980;;;CNIT Médical;22-02-2022;NEGATIF;Pas Appel
12983184;36075;144300;CNIT Médical;24-09-2021;NEGATIF;Pas Appel
12984221;0;0;CNIT Médical;30-04-2021;POSITIF;Pas Appel
12984479;;;CNIT Médical;30-04-2021;POSITIF;Pas Appel
12984571;23290,19;80311;CNIT Médical;27-05-2021;NEGATIF;Pas Appel
12985644;25539,85;72971;CNIT Médical;17-02-2021;POSITIF;Pas Appel
12985814;27899,55;79713;CNIT Médical;22-01-2021;POSITIF;Pas Appel
12985872;;;TJ;30-08-2021;POSITIF;Pas Appel
12996381;54661,95;156177;TJ Médical;02-07-2021;POSITIF;Pas Appel
12996468;22083,6;78870;CNIT Médical;17-08-2021;POSITIF;Pas Appel
13003122;8130;27100;TJ Médical;20-07-2021;NEGATIF;Pas Appel
13006098;12899,25;36855;TJ Médical;24-06-2021;NEGATIF;Pas Appel
13013349;0;0;TJ;19-01-2021;NEGATIF;Pas Appel
13014720;3463,46;31486;TJ;16-07-2021;NEGATIF;Pas Appel
13014756;1394,3545;12675,95;TJ;15-04-2021;POSITIF;Pas Appel
13022576;10584,5;42338;TJ;02-09-2021;POSITIF;Pas Appel
13027128;9445,92;42936;TJ;15-12-2021;NEGATIF;Pas Appel
13027331;26476,24;94558;CNIT Médical;18-05-2021;POSITIF;Pas Appel
13028366;7283,9;28015;TJ Médical;27-05-2021;POSITIF;Pas Appel
13033653;9590,7;31969;CA;28-02-2022;NEGATIF;Pas Appel
13041544;11982,3;108930;TJ;15-04-2021;POSITIF;Pas Appel
13044411;58140,27;193800,9;CNIT Médical;11-04-2022;POSITIF;Pas Appel
13045577;5413,1;24605;TJ Médical;27-05-2021;POSITIF;Pas Appel
13048645;10326;34420;TJ;11-03-2021;POSITIF;Pas Appel
13048735;4279,33;38903;TJ;15-04-2021;POSITIF;Pas Appel
13048865;17963,4;59878;TJ Médical;27-05-2021;POSITIF;Pas Appel
13055590;5412,4;27062;CNIT Médical;30-04-2021;POSITIF;Pas Appel
13060974;11421;38070;CNIT Médical;04-05-2021;POSITIF;Pas Appel
13062702;12448,25;42925;TJ;21-05-2021;POSITIF;Pas Appel
13064385;5767,75;23071;TJ;16-03-2022;NEGATIF;Pas Appel
13097522;8347,68;34782;TJ;22-12-2021;NEGATIF;Pas Appel
13099724;23337,9;77793;CNIT Médical;18-05-2021;POSITIF;Pas Appel
13121851;24308,4;81028;CNIT Médical;18-05-2021;NEGATIF;Pas Appel
13154647;;;CNIT Médical;03-05-2021;POSITIF;Pas Appel
13155678;11013,75;44055;TJ;17-07-2021;NEGATIF;Pas Appel
13167382;320,34;1686;TJ;15-02-2022;POSITIF;Pas Appel
13174650;17905,14;99473;CNIT Médical;26-10-2021;POSITIF;Pas Appel
13184254;3638,2;18191;TJ;12-01-2021;POSITIF;Pas Appel
13188347;;;CNIT Médical;16-12-2021;POSITIF;Pas Appel
13192354;21538,98;79774;TJ Médical;02-09-2021;POSITIF;Pas Appel
13193850;94290;188580;CNIT Médical;14-04-2021;POSITIF;Pas Appel
13196543;8317,54;37807;TJ;02-04-2021;NEGATIF;Pas Appel
13199876;9069,25;36277;TJ;18-05-2021;POSITIF;Pas Appel
13210268;6484,5;29475;TJ;05-04-2022;POSITIF;Pas Appel
13212976;42144,08;191564;CNIT Médical;20-05-2021;POSITIF;Pas Appel
13229056;;;CNIT Médical;09-02-2022;NEGATIF;Pas Appel
13231388;13099,3;45170;TJ Médical;01-07-2021;POSITIF;Pas Appel
13242099;10703,75;42815;CNIT Médical;12-01-2021;POSITIF;Pas Appel
13248083;54737,28;140352;CNIT Médical;12-07-2021;NEGATIF;Pas Appel
13255699;15484,62;81498;CNIT Médical;22-04-2021;POSITIF;Pas Appel
13268445;8167,64;62828;TJ;22-11-2021;POSITIF;Pas Appel
13269021;41715,6;139052;TJ Médical;02-07-2021;POSITIF;Pas Appel
13270624;8151;42900;TJ;31-03-2022;POSITIF;Pas Appel
13282464;37365,65;106759;TJ Médical;01-07-2021;POSITIF;Pas Appel
